Pattern;p
0;0.39920029347917674
1;0.006349824030974037
2;0.0017235236776502727
3;0.0029836827343572856
4;0.006355280202443911
5;0.0004993722469323406
6;0.0029845373698573793
7;0.007600817566624049
8;0.001905054808099309
9;0.002405378814618969
10;0.00014876699723335375
11;0.0015187338693478443
12;0.0001806731068993883
13;0.00017232241176021724
14;0.00014860267682996605
15;0.0017412496705813535
16;0.0008174575853210233
17;0.000132006033750347
18;0.00039924860650114737
19;0.0002675590730466725
20;0.00013192726159820756
21;2.514384509294446e-05
22;0.00026595285522043106
23;0.00035740930021658097
24;0.0006030028009897853
25;0.0003072176047680663
26;0.00011664659343300431
27;0.0008723482231640074
28;9.941553807432661e-05
29;4.5133619801280344e-05
30;0.00015578703591004
31;0.0017952424752924255
32;0.001906419062719875
33;0.00018044751926655882
34;0.0001486309105762526
35;0.00014828307082200237
36;0.002387547792151702
37;0.00016997167004439962
38;0.001527402476470202
39;0.0017456115020451617
40;0.00010591692283172906
41;7.181479237952712e-05
42;1.319024159014754e-05
43;4.718254276929483e-05
44;7.112843000730124e-05
45;9.393113285816549e-05
46;4.6850513912965074e-05
47;0.0003485583030932123
48;0.0006037738646008708
49;9.663310237778772e-05
50;0.00011564711881446066
51;0.00015405997764969212
52;0.00030610604217676506
53;4.495066512534354e-05
54;0.0008592596230604915
55;0.0018007313979079927
56;0.0010111326147228279
57;0.00023651804536685764
58;6.257671059456998e-05
59;0.00036270849205710236
60;0.00024496501758086584
61;9.811480938290555e-05
62;0.0003650967846554811
63;0.007748775949363756
64;0.006410545219762655
65;0.0004575385873970314
66;0.00015710978692356456
67;0.00019242229807907066
68;0.00042247735658347557
69;6.077455056909989e-05
70;0.0002141532479208977
71;0.0003616542439707628
72;0.0024078622549423335
73;0.00444726226267183
74;0.0001138446764515277
75;0.0012499802264957882
76;0.0001804085566966834
77;0.00022409943206272136
78;0.00010132216296105692
79;0.0007767603340737475
80;0.0001339617853556159
81;2.3863162361386832e-05
82;6.792389980377852e-05
83;3.858310832533931e-05
84;4.5559667032744295e-05
85;8.487064133735071e-06
86;5.4929035737933855e-05
87;4.746488023216027e-05
88;0.0003084754181651318
89;0.0002951169034471165
90;0.00012152651414117054
91;0.0013004209435865503
92;6.142985582041058e-05
93;4.1264749547635246e-05
94;0.00014121842282618338
95;0.0014356619999864094
96;0.0001833330081370436
