# Total_Iterations; SpaceFilter; TimeFilter; POOL_SIZE; DIM_MULTI_LEVEL
#4.39003e+10;3;3;10;10;
Pattern;Sum_level;Count_level
132351512;45234;10
19175350;41016;10
56208594;160142;40
7397825;201666;50
14705158;34808;10
132247968;33866;10
263718;45840;10
11780;86959;20
13889023;33796;10
8388646;33724;10
50101763;37600;10
1855417;34461;10
9961920;596726;90
16786505;36410;10
14943744;47362;10
757760;34254;10
16535492;46520;10
131858231;84197;20
134058503;190601;50
802815;1091191;100
788023;269799;50
84101558;34002;10
8930336;438797;80
70840775;453835;90
6143;1330704;100
2359808;1290242;100
129363159;33667;10
9700353;36846;10
133038078;161703;40
57521700;267876;60
506;1221808;100
16875977;494331;80
38339730;517236;100
6818816;77379;20
52683263;39904;10
131556;1047671;100
102651;34928;10
4024;778450;100
58047199;408310;90
49120;40102;10
118259712;35276;10
126672952;114522;30
134105472;396350;80
39396570;35782;10
1060864;640775;90
2620991;335928;70
530448;41389;10
76546505;89933;20
16790023;34287;10
14842319;256412;60
77340223;38791;10
64712116;34991;10
124222976;550318;100
786624;898496;100
130025983;115304;20
19173951;356475;80
12361319;34548;10
103199693;36053;10
132278272;45540;10
11819629;120387;30
67352064;291175;60
67108717;284796;60
8650459;39630;10
29367553;113241;30
19185225;34736;10
124014015;543028;100
57653183;182389;40
100921853;34297;10
76704054;325760;60
80634675;35339;10
119512120;73719;20
117442047;150566;40
133712896;513036;100
134214653;1046485;100
113242103;201828;50
33784304;48534;10
133955679;1190285;100
23920118;36501;10
75536160;68694;20
134211135;35017;10
83785535;80062;20
114819574;350621;80
99614720;330198;70
2662528;34496;10
100663804;322539;70
108953407;295813;70
134092799;860987;100
62635007;419406;90
58196992;39497;10
126089725;71142;20
57989430;107344;30
1842744;585030;100
304576;36317;10
53581924;153848;40
2101513;105790;30
20256;135848;30
56137473;246599;60
50430344;232953;50
133426662;39209;10
107163931;34507;10
100330870;231478;60
125812441;34162;10
1863173;34729;10
81395291;33848;10
113503670;74403;20
83070579;35936;10
123830400;78342;20
133996537;299867;70
134216772;74539;20
134209736;74589;20
267956;41747;10
109002495;313492;70
1048191;233439;50
105325457;1079326;100
124677559;39660;10
26232884;41654;10
23113817;128541;30
117674955;34083;10
117141495;35842;10
8384449;33806;10
113845759;68344;20
134217492;89970;20
16484080;33664;10
2887680;719876;100
114856955;68682;20
115240294;78786;20
19962073;41967;10
38381267;183620;50
76826628;34583;10
1978424;91696;20
124752713;41229;10
134211855;275524;70
67376731;34512;10
15757760;248815;60
