Pattern;p
67190785;6.09644e-08
100677631;3.41564e-07
130236736;1.65465e-07
107730;5.00849e-07
74331929;2.23339e-07
294407;1.47732e-06
16888315;1.03649e-06
25063223;7.81653e-08
123766790;6.30094e-08
29294191;5.85558e-08
17143771;1.10136e-07
40744521;8.21144e-07
116371520;2.33428e-07
56885286;5.76264e-07
134004727;6.13825e-07
83850815;8.00285e-08
1875519;3.21682e-07
51480615;7.40752e-08
50605312;1.61329e-09
116916221;2.61604e-07
179712;5.87148e-07
130023447;1.16862e-07
131211263;1.13521e-07
117641608;5.39636e-07
132380679;4.93032e-07
14683928;1.43606e-08
33297929;2.4079e-07
132153408;3.02336e-06
22588498;1.67351e-07
294;0.00014181
133960392;3.40928e-07
76957989;4.6656e-07
8601600;9.05467e-07
41152;2.61763e-07
132641772;3.29998e-07
102744816;2.39722e-08
133974464;1.3496e-06
39813568;2.07456e-08
23641182;4.41043e-07
134020959;5.14005e-07
115232367;1.0107e-07
121110528;1.73293e-06
83736079;1.82234e-08
118194695;6.38501e-09
124584447;1.6551e-07
1042432;6.62973e-07
117276415;1.69569e-06
33292292;1.99199e-06
19268095;2.94633e-06
127126014;1.17289e-06
75497888;1.25689e-06
10485890;2.71533e-08
3431277;2.03593e-08
38535094;2.95551e-07
134201735;1.61966e-07
110906372;4.07868e-08
134215807;3.22068e-06
132619903;6.74448e-07
67403264;2.68489e-07
95853389;3.0314e-07
17845252;9.2185e-08
118720996;1.34549e-06
117403063;1.67528e-06
113917952;9.26122e-07
134216527;1.94482e-07
14712792;4.93986e-08
1835463;1.0306e-06
2097153;1.25238e-05
10113023;6.50999e-07
117686704;5.16913e-07
107378407;2.40858e-09
16547748;2.42562e-07
118292479;5.91443e-07
134114505;7.39298e-07
133975863;1.11565e-06
787009;5.29138e-07
790527;6.71299e-06
23082499;1.17316e-07
134189062;1.32695e-06
28479;3.85777e-06
134087040;3.24213e-06
3151874;2.02094e-07
262107;3.22569e-05
1014;2.68209e-06
126983;9.02036e-07
281014;3.22295e-07
132354016;1.2995e-07
112191;3.1938e-06
134198217;1.44183e-06
86212964;2.36314e-09
16781376;1.67717e-06
3935750;1.84663e-06
61461738;9.51253e-07
120061444;5.34251e-07
26843372;8.24825e-09
109053695;1.16975e-07
77291520;3.66286e-07
8389121;2.54367e-06
114190237;3.06753e-09
26216448;5.85058e-07
119523059;9.36166e-09
6043163;4.33931e-07
12288;5.33017e-05
32368375;1.24519e-08
28049408;8.817e-07
118474695;5.63517e-08
133959672;1.69713e-05
123973632;1.13861e-05
20713993;5.72879e-07
119508987;8.99969e-07
33537791;4.61334e-07
14927390;6.99852e-09
67305480;3.18092e-07
67363126;3.65377e-08
117698575;7.28505e-07
134186943;2.52378e-07
33357694;1.87029e-07
133694464;1.1917e-06
132284294;1.22701e-08
99202779;6.9758e-09
16517567;3.19523e-07
134003328;6.83946e-09
130803175;2.57446e-08
121631192;7.63702e-08
133805641;1.86542e-06
134074367;3.38274e-06
124125667;4.77172e-10
110792;9.97493e-07
133365760;9.3657e-06
51218123;3.53539e-07
2413;3.16592e-07
4206595;1.00592e-07
23298496;4.45474e-07
75655478;2.67466e-07
77221119;1.8846e-07
123695031;1.45583e-07
9859007;9.68431e-08
73695232;3.91167e-07
25161727;9.19828e-07
1292251;2.86258e-07
134217247;0.000164657
9701376;1.63036e-06
96460735;1.41334e-07
258548;1.65772e-06
100662839;5.87148e-07
67108431;1.6187e-06
9964547;3.98643e-07
117403104;5.15345e-08
51119619;2.25839e-07
76583641;4.47792e-07
75630852;7.20688e-07
148770;4.87442e-07
114949487;7.43025e-09
2508800;3.55123e-06
109537780;1.16725e-07
262066;1.26639e-06
133140608;1.06773e-07
102632960;1.44447e-07
14929468;1.70191e-08
66838944;1.29813e-07
23885323;1.00206e-08
126089472;1.72873e-07
16810240;7.13292e-06
121634751;2.21462e-06
228285;1.84097e-07
16572415;5.58814e-07
117192703;4.74877e-07
41746431;4.29318e-07
66854415;2.00973e-06
52897060;2.2059e-07
224767;0.000280426
1200063;8.65703e-07
134049782;8.32551e-08
117198340;3.38442e-06
57259593;8.67862e-07
20873023;2.64898e-07
76546342;1.50766e-06
58460671;1.1408e-06
117698616;4.2504e-06
132677631;6.03554e-07
196623;1.50073e-06
132372964;2.07115e-07
134215128;1.12588e-06
133906943;1.86588e-06
